Years,Export,Import,CPI,Exchange_rate,Tourist,GDP_fed,GDP_thai
1992,824643.30,1033244.70,49.60,25.40,5136.44,6520.33,3994.50
1993,940862.60,1170846.40,50.00,25.32,5760.53,6858.56,4341.00
1994,1137601.60,1369260.40,52.50,25.15,6166.50,7287.24,4688.20
1995,1406310.10,1763591.30,55.50,24.92,6951.57,7639.75,5068.90
1996,1411039.30,1832825.20,58.80,25.34,7192.15,8073.12,5355.40
1997,1806682.00,1924263.10,62.10,31.37,7221.35,8577.55,5207.90
1998,2248089.40,1774066.40,67.00,41.37,7764.93,9062.82,4810.30
1999,2214248.70,1907390.60,67.20,37.84,8580.33,9631.17,5030.30
2000,2768064.80,2494133.10,70.10,40.16,9508.62,10250.95,5254.30
2001,2884703.90,2748961.60,71.20,44.48,10061.95,10581.93,5435.30
2002,2923941.40,2774892.10,71.70,43.00,10799.07,10929.11,5769.50
2003,3325630.10,3138775.90,73.00,41.53,10004.45,11456.45,6184.30
2004,3873689.60,3801066.60,75.10,40.27,11650.70,12217.20,6573.30
2005,4438691.00,4754024.60,78.40,40.27,11516.94,13039.20,6848.50
2006,4937372.20,4942922.50,82.10,37.93,13821.80,13815.58,7188.80
2007,5302119.20,4870186.40,83.90,34.56,14464.23,14474.23,7579.50
2008,5851371.10,5962482.50,88.50,33.36,14584.22,14769.86,7710.30
2009,5194596.70,4601981.80,87.70,34.34,14149.84,14478.07,7657.00
2010,6113335.50,5856591.30,90.63,31.73,15936.40,15048.97,8232.30
2011,6707989.50,6982728.10,91.65,30.49,19230.48,15599.73,8301.50
2012,7077762.20,7786123.00,94.41,31.08,22353.91,16253.97,8902.80
2013,6909543.90,7657633.10,96.47,30.73,26546.72,16880.68,9142.00
2014,7311089.00,7403904.80,98.30,32.48,24809.69,17608.14,9232.00
2015,7225722.80,6906078.40,97.42,34.25,29881.09,18295.02,9521.40
2016,7550704.10,6888186.70,97.60,35.30,32529.59,18804.91,9848.50
2017,8006265.20,7587118.40,98.25,33.94,35591.98,19612.10,10259.90
2018,8108299.80,8064038.90,99.30,32.31,38178.19,20656.52,10693.20
2019,7628400.40,7425649.00,100.00,31.05,39916.25,21521.40,10919.30
2020,7183567.60,6476267.40,99.15,31.30,6702.40,21322.95,10258.60
2021,8568939.90,8525584.60,100.37,31.98,427.87,23594.03,10419.50
2022,9957072.70,10569641.90,106.47,35.07,11065.23,25744.11,10676.10
2023,9809007.70,10111933.60,107.80,34.81,28150.02,27357.84,10877.10
